Price,Close,High,Low,Open,Volume
Ticker,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
Date,,,,,
2019-01-01,2372.93701171875,2372.93701171875,2372.93701171875,2372.93701171875,0
2019-01-02,2340.519775390625,2359.9700502584606,2327.552983518293,2340.519775390625,82441033
2019-01-03,2347.00341796875,2359.9702107227486,2321.0696583420654,2321.0696583420654,102805905
2019-01-04,2372.93701171875,2372.93701171875,2340.519770921802,2347.0032539049266,125907734
2019-01-07,2372.93701171875,2405.354078397023,2372.93701171875,2398.8707695325734,82106628
2019-01-08,2385.904052734375,2385.904052734375,2353.486982670677,2372.9372595326345,89499635
2019-01-09,2411.837646484375,2424.804438789496,2392.387370967353,2405.354163272474,131331598
2019-01-10,2431.287841796875,2431.287841796875,2405.3540839234674,2424.8043587988545,156122176
2019-01-11,2418.32080078125,2444.254555982932,2398.870527909653,2437.771073652847,118649479
2019-01-14,2457.2216796875,2457.2216796875,2418.3211286699643,2418.3211286699643,126576436
2019-01-15,2450.738037109375,2457.22151989691,2424.8042800779035,2444.2547284405096,154948896
2019-01-16,2450.738037109375,2463.705002684446,2437.771245652974,2457.22151989691,114151831
2019-01-17,2470.1884765625,2489.638926225976,2450.7382010177057,2457.2216842388643,131847617
2019-01-18,2476.672119140625,2496.1223959369117,2457.221842344338,2496.1223959369117,105708085
2019-01-21,2463.705322265625,2483.155599032567,2463.705322265625,2463.705322265625,89020137
2019-01-22,2444.254638671875,2457.221429652053,2424.804191023614,2444.254638671875,131658634
2019-01-23,2444.254638671875,2470.1882206322302,2418.3208825928564,2437.7711561224546,179807675
2019-01-24,2457.2216796875,2470.188471987118,2431.2879209695825,2431.2879209695825,193786497
2019-01-25,2450.738037109375,2476.671794140847,2450.738037109375,2476.671794140847,139857845
2019-01-28,2450.738037109375,2457.22151989691,2431.2877628654387,2431.2877628654387,102940988
2019-01-29,2392.387451171875,2476.6720392774964,2366.4536915735252,2450.7382796791467,206378414
2019-01-30,2431.287841796875,2437.771324794896,2398.870775044122,2398.870775044122,159225000
2019-01-31,2496.122314453125,2509.0892813064825,2463.705245557105,2463.705245557105,277698146
2019-02-01,2541.50634765625,2547.9898310764333,2509.089278792708,2515.572762212891,154119152
2019-02-04,2528.539306640625,2560.9565464395914,2522.055823857098,2560.9565464395914,83552603
2019-02-05,2528.539306640625,2528.539306640625,2528.539306640625,2528.539306640625,0
2019-02-06,2541.50634765625,2554.4733144966162,2535.0230383547537,2541.50634765625,85882773
2019-02-07,2547.98974609375,2547.98974609375,2522.0559873966686,2547.98974609375,91233705
2019-02-08,2522.0556640625,2535.022628807982,2496.1219086901942,2502.6053910629353,86321790
2019-02-11,2509.089111328125,2541.5061780280494,2502.60562834067,2522.0559031843595,61147416
2019-02-12,2496.122314453125,2528.539557467832,2476.6720382917756,2528.539557467832,104459344
2019-02-13,2457.2216796875,2522.0559894229527,2450.7381964783503,2522.0559894229527,119001265
2019-02-14,2463.705322265625,2496.122392170964,2431.288078241593,2476.672115404022,131498911
2019-02-15,2444.254638671875,2489.638668280492,2431.287673573034,2489.638668280492,96513687
2019-02-18,2489.63916015625,2502.6059536982652,2457.221915123165,2457.221915123165,103030419
2019-02-19,2535.023193359375,2593.374025352839,2515.5729160282203,2528.5397095427575,153943258
2019-02-20,2522.0556640625,2554.472901807547,2502.6053910629353,2535.022628807982,136475507
2019-02-21,2535.023193359375,2554.4734706905297,2483.1556710638306,2483.1556710638306,125997166
2019-02-22,2528.539306640625,2535.0227894241525,2502.605549625186,2502.605549625186,89872212
2019-02-25,2567.43994140625,2573.923424407713,2528.539391634825,2554.4731495220003,117405577
2019-02-26,2554.47314453125,2573.923419378962,2535.0228696835384,2567.4399363901666,67561846
2019-02-27,2509.089111328125,2541.5061780280494,2496.1221453532153,2535.0228691592692,96869983
2019-02-28,2496.122314453125,2509.0892813064825,2489.639005145133,2496.122314453125,117143553
2019-03-01,2509.089111328125,2522.0559031843595,2502.60562834067,2509.089111328125,78576447
2019-03-04,2515.572509765625,2541.5060926064502,2515.572509765625,2528.5393011860374,62730673
2019-03-05,2502.605712890625,2528.5394715979355,2502.605712890625,2528.5394715979355,77678611
2019-03-06,2528.539306640625,2541.50609808901,2502.605549625186,2522.055823857098,62160643
2019-03-07,2528.539306640625,2528.539306640625,2528.539306640625,2528.539306640625,0
2019-03-08,2496.122314453125,2515.572764733161,2470.188554865097,2476.6720382917756,142765635
2019-03-11,2502.605712890625,2528.5394715979355,2483.1554373898125,2528.5394715979355,51418628
2019-03-12,2489.63916015625,2522.0562310706373,2470.1887086651805,2515.5729213589784,69851316
2019-03-13,2457.2216796875,2470.188471987118,2450.7381964783503,2463.7051628966497,51432598
2019-03-14,2489.63916015625,2496.122469867909,2450.7384312928084,2450.7384312928084,99175072
2019-03-15,2560.956787109375,2560.956787109375,2522.0560608711266,2528.539544263949,106867285
2019-03-18,2593.37353515625,2612.8238088109356,2580.406744092681,2586.8900525651334,102196275
2019-03-19,2580.40673828125,2625.790768079527,2573.9232557047353,2619.307285503012,63741150
2019-03-20,2586.89013671875,2599.857102322809,2567.4398624313317,2567.4398624313317,94567643
2019-03-21,2586.89013671875,2619.307376610228,2573.923345233361,2599.857102322809,121229463
2019-03-22,2625.790771484375,2638.757562535555,2593.373532678429,2612.823806314531,104102388
2019-03-25,2599.857421875,2619.30769855308,2586.8904546771523,2612.824214954156,90384491
