"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1628752635175096322","Thu Feb 23 13:44:23 +0000 2023","2362","This is what cell division looks like: By @VUCellImaging https://t.co/gSrNRZZbvM","1628752635175096322","https://pbs.twimg.com/ext_tw_video_thumb/1628751855801991168/pu/img/d-36RkcC1ITNlVUe.jpg","","en","","27","28","451","https://x.com/undefined/status/1628752635175096322","1130005901140811777",
"1635925158182662144","Wed Mar 15 08:45:26 +0000 2023","47","Terima kasih untuk Bank Mandiri dan Bank BNI untuk souvenir yang diberikan! Dividen payout ratio BMRI sebesar 60% dan BBNI sebesar 40%. #CeritaRUPS https://t.co/RhZwopGJcK","1635925158182662144","https://pbs.twimg.com/media/FrP5J8vaIAEvHwK.jpg","","in","","2","11","10","https://x.com/undefined/status/1635925158182662144","139982550",
"1635557268312948737","Tue Mar 14 08:23:34 +0000 2023","49","RUPS Tahunan Bank Mandiri (BMRI) dengan agenda kedua persetujuan dividen payout ratio sebesar 60% dari total laba bersih. #CeritaRUPS https://t.co/CVjRHDOT2S","1635557268312948737","https://pbs.twimg.com/media/FrKqps5aQAAZij0.jpg","","in","","0","13","5","https://x.com/undefined/status/1635557268312948737","139982550",
"1765999576589423071","Fri Mar 08 07:14:44 +0000 2024","341","Hasil RUPST ini menetapkan pembagian dividen sebesar 60% (sebesar Rp33 03 Triliun (+33% YoY) dari total laba tahun 2023 untuk pemegang saham BMRI. Selain itu Bank Mandiri juga memberikan kontribusinya kepada negara dalam bentuk Pajak Bea &amp; Cukai dan PNBP lainnya dengan total https://t.co/vr2RCw7ff6","1765999576589423071","https://pbs.twimg.com/ext_tw_video_thumb/1765999090108977152/pu/img/CIxKPv7nYNVQn28D.jpg","","in","","16","60","26","https://x.com/undefined/status/1765999576589423071","2278761810",
"1839784643257872608","Fri Sep 27 21:50:15 +0000 2024","666","Relationship between chromosomes (orange) and the mitotic spindle (green) in four stages of cell division as seen by Bessel Beam plane structured illumination microscopy https://t.co/Z5NRQOoi4q https://t.co/Q4wJoXopls","1839784643257872608","https://pbs.twimg.com/ext_tw_video_thumb/1839782852755677184/pu/img/r96_M-yPLQuNYqAl.jpg","","en","","19","8","154","https://x.com/undefined/status/1839784643257872608","1732214154352791552",
"1731692162704707738","Mon Dec 04 15:09:19 +0000 2023","2901","1/If you aren t cheating you aren t trying! Are you looking at MRIs? Feeling some confusion about the diffusion? Feel impaired when it comes to the FLAIR? Wish you could cheat a little? Here s a little cheat sheet on all the sequences you NEED to know for looking at MRIs! https://t.co/HeEoUCXBtm","1731692162704707738","https://pbs.twimg.com/media/GAg0tKUW8AAIypQ.jpg","","en","","21","42","818","https://x.com/undefined/status/1731692162704707738","1519179930923266048",
"1646849763797786624","Fri Apr 14 12:15:55 +0000 2023","177","THR 2023 ini memang agak istimewa Senin 10 April terima dari kantor Dari pasar modal 12 April dari BBRI dan BMRI 14 April dari BBNI dan BBCA Abis libur lebaran dividen Jumbo group Astra seperti UNTR sudah menanti Pesan saya: jangan lupa reinvestasi biar ga kena pajak 10% https://t.co/mkkqJJ57eW","1646849763797786624","https://pbs.twimg.com/media/FtrJIJBaYAI2Lsb.jpg","","in","","7","11","35","https://x.com/undefined/status/1646849763797786624","574453228",
"1733426754524713213","Sat Dec 09 10:01:58 +0000 2023","102","Jika harus pilih $BBRI dan $BMRI Jawabnya $BMRI ya bang Biasa bulan maret 3 bulan dri sekarang emiten ini biasa bagi dividen Payout dividen ratio nya lebih stabil di 60% Tolong kalo uda masuk di emiten ini jgn d cl ya bang Makin turun makin asik Avg down aja https://t.co/0QhXqjaHmO","1733426754524713213","https://pbs.twimg.com/media/GA5ecO9bcAAYX_M.jpg","","in","","0","4","13","https://x.com/undefined/status/1733426754524713213","1634788663",
"1609732857085190147","Mon Jan 02 02:06:35 +0000 2023","217","Brain MRI after half of it was removed @slava__bobrov #Medtwitter https://t.co/al7KiaEbEL","1609732857085190147","https://pbs.twimg.com/ext_tw_video_thumb/1605190642728042497/pu/img/qTcwh7gmg1XeqIrs.jpg","","en","","5","8","25","https://x.com/undefined/status/1609732857085190147","1493597471074832393",
"1772152669831876848","Mon Mar 25 06:44:56 +0000 2024","0","Beberapa bank mulai membagikan dividen. Ada BBCA BMRI BBTN BBNI NISP MEGA dan SDRA. Apa artinya? Secara langsung tidak ada. Secara khusus dikaitkan dgn kenaikan penghasilan &amp; laba bank maka bisa diartikan kredit lancar dan ekonomi mulai berputar pada 2023 lalu. https://t.co/UMlY9OBLmz","1772152669831876848","https://pbs.twimg.com/media/GJfwSMtbIAAGiU9.png","","in","","0","1","0","https://x.com/undefined/status/1772152669831876848","12487102",
