"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1749521508425220145","Mon Jan 22 19:56:46 +0000 2024","259","Bin perguntando como é o trabalho da Bea na feirinha da madrugada no Brás e ela explicando como funciona https://t.co/waO3xCZqq3","1749521508425220145","https://pbs.twimg.com/ext_tw_video_thumb/1749521320650387457/pu/img/kAZh4IRSsWfiBSJ3.jpg","","pt","Laufey ❤️‍🩹","8","3","21","https://x.com/misspnster/status/1749521508425220145","850698666281238528","misspnster"
"1840403971783246234","Sun Sep 29 14:51:14 +0000 2024","270","All it took was patience + listening to Rubi We Could Not Have Possibly Made It Any Easier For You To Win Forever AND Make Money With Your Friends. @RetardedAPR $RAPR https://t.co/rlIlZLm3in","1840403971783246234","https://pbs.twimg.com/amplify_video_thumb/1840403843705978880/img/_yGr68IXlY82eAmf.jpg","","en","LAMBROS","1","22","28","https://x.com/DejaRu22/status/1840403971783246234","1161776053913677824","DejaRu22"
"1858067104236257764","Sun Nov 17 08:38:13 +0000 2024","377","Hey ##btposse and #puppygang pals. My family talk a lot about a very special BT that lived in my house before me called Rufus. This is him. He has sadly gone over the . I have big shoes to fill but am told that I am doing a great job. https://t.co/uRsHFuVXDn","1858067104236257764","https://pbs.twimg.com/media/GckuKJLWkAAB96v.jpg","","en","","0","13","13","https://x.com/BertieTheBorder/status/1858067104236257764","1845179343984787458","BertieTheBorder"
"1735809288671465911","Fri Dec 15 23:49:18 +0000 2023","1835","Cuando Raspy fue con Rubius para que le hiciera mimos ^^ &lt;3 https://t.co/1K2QhePOdV","1735809288671465911","https://pbs.twimg.com/ext_tw_video_thumb/1589367514722615301/pu/img/ZGAoO8prBX4odQlo.jpg","","es","Hyrule | Konoha ⸝͟๏︠","3","2","159","https://x.com/triforcepierce/status/1735809288671465911","1267289970638807044","triforcepierce"
"1470444761844793351","Mon Dec 13 17:25:25 +0000 2021","622","Nieveeee widepeepoHappy @Rubiu5 / #rubiusfanart \ https://t.co/IXbitGFM1k","1470444761844793351","https://pbs.twimg.com/media/FGgRt7EXsAUyNZJ.jpg","","en","","0","4","56","https://x.com/rubbright/status/1470444761844793351","1318796403175456768","rubbright"
"1590509715674365952","Thu Nov 10 01:00:41 +0000 2022","217","Rufus is missing! Rufus is a #basset in #Barnesville #Ohio. Contact Diana at the number below if you've seen him! https://t.co/c5gncFZ38H","1590509715674365952","https://pbs.twimg.com/media/FhKgKBHXkAAEei1.jpg","","en","Virginia","7","14","174","https://x.com/BROODva/status/1590509715674365952","2773970331","BROODva"
"1443584508679262208","Thu Sep 30 14:32:22 +0000 2021","1025","^^Elrubius profesor POGGERS @Rubiu5 [#rubiusfanart] https://t.co/NJ30YdI6cN","1443584508679262208","https://pbs.twimg.com/media/FAikdZxVkAU7IoC.jpg","","ca","","1","5","106","https://x.com/rubbright/status/1443584508679262208","1318796403175456768","rubbright"
"1604139318448046080","Sat Dec 17 15:39:51 +0000 2022","937","cuando apareció el bicho rub salió corriendo y robleis le sacó una foto de chill #RubiusRewind2022 https://t.co/X1CqgP8vJ7","1604139318448046080","https://pbs.twimg.com/ext_tw_video_thumb/1574513446900621317/pu/img/o28c-fUaAv5mnXFq.jpg","","es","🇨🇱 | she!her | cl16 🏎 ","4","2","122","https://x.com/connydiazz/status/1604139318448046080","1191749652166651905","connydiazz"
"1177710045498400768","Fri Sep 27 22:22:10 +0000 2019","177","Pincha en el enlace para ver la rueda de prensa completa de Rubi tras el #VillarrealRealBetis en nuestro canal de YouTube https://t.co/XAEXWp4KI9 https://t.co/FZeZmkEfNe","1177710045498400768","https://pbs.twimg.com/media/EFgKG3NW4AAOqjN.jpg","","es","Benito Villamarín (Sevilla)","12","39","42","https://x.com/RealBetis/status/1177710045498400768","296756458","RealBetis"
"1538940839359029254","Mon Jun 20 17:44:22 +0000 2022","1099","Rubius mañana irá a Barcelona y hará un IRL con Ari presentando su colaboración OJO: https://t.co/uVqjVyPIoT","1538940839359029254","https://pbs.twimg.com/ext_tw_video_thumb/1538940726934913025/pu/img/7UsqnPdTSewNS-ps.jpg","","es","Hyrule | Konoha ⸝͟๏︠","3","0","67","https://x.com/triforcepierce/status/1538940839359029254","1267289970638807044","triforcepierce"
"1864038423368966441","Tue Dec 03 20:06:06 +0000 2024","286","One of bestest besties of pal has gone OTRB. We are all so so devastated. Me send big hugs to hims hoos. Love you forever Rupes my bovver pal.","1864038423368966441","","","en","Buckie, Scotland","0","25","14","https://x.com/neale_morrison/status/1864038423368966441","4874293131","neale_morrison"
"1466847032040169473","Fri Dec 03 19:09:19 +0000 2021","2075","Tremendo videazo me encantó felicidades @Rubiu5 / #RubiusX #rubiusfanart \ https://t.co/p7ZZjb8TkO","1466847032040169473","https://pbs.twimg.com/media/FFtJmhaXsAA31r6.jpg","","es","","2","3","161","https://x.com/rubbright/status/1466847032040169473","1318796403175456768","rubbright"
"1514265475395596289","Wed Apr 13 15:33:17 +0000 2022","793","El mejor pintor de nfts. #rubiusfanart ️ https://t.co/wzlaRK0zRo","1514265475395596289","https://pbs.twimg.com/media/FQPAbKwXsAooiiR.jpg","","es","","2","9","114","https://x.com/rubbright/status/1514265475395596289","1318796403175456768","rubbright"
"1542211116415197186","Wed Jun 29 18:19:17 +0000 2022","486","Se filtro foto de la casa de Rubius en Karmaland https://t.co/HzPMmqXLwG","1542211116415197186","https://pbs.twimg.com/media/FWcI1mkX0AMvbPq.jpg","","es","","1","3","37","https://x.com/rubbright/status/1542211116415197186","1318796403175456768","rubbright"
"1510391271763976192","Sat Apr 02 22:58:35 +0000 2022","411","Rubius modelo + Wilson #rubiusfanart https://t.co/Hah8Gyiojx","1510391271763976192","https://pbs.twimg.com/media/FPX8218WQAMrXgn.jpg","","lt","","1","5","83","https://x.com/rubbright/status/1510391271763976192","1318796403175456768","rubbright"
"1595467518797398017","Wed Nov 23 17:21:13 +0000 2022","826","El mejor jugador de España #rubiusfanart //@Rubiu5 https://t.co/MrvnmsY7IJ","1595467518797398017","https://pbs.twimg.com/media/FiQ9QJuX0AUyYyr.jpg","","es","","1","3","94","https://x.com/rubbright/status/1595467518797398017","1318796403175456768","rubbright"
"1462934139443847174","Tue Nov 23 00:00:53 +0000 2021","574","Felices 11M en Rubius Z! @Rubiu5 / #rubiusfanart \ https://t.co/ObsWzrDF1w","1462934139443847174","https://pbs.twimg.com/media/FE1i2MQWYAIXVmb.jpg","","es","","1","3","61","https://x.com/rubbright/status/1462934139443847174","1318796403175456768","rubbright"
"1867963258143154656","Sat Dec 14 16:02:00 +0000 2024","229","1 #zzst #zshq ️️️️️️️️️️ Darling RUPERT made his journey over the bridge. The news stunned us all he was the 'other half' of the notorious BOVVER BROTHERS We train to day remembering him (and all the mischief he would probably have caused) TO DEAREST RUPE YOU https://t.co/wLX7YfwJKz","1867963258143154656","https://pbs.twimg.com/media/GevmOltWUAAD-6_.jpg","","en","We live where no zombies are😡","2","32","27","https://x.com/gensbazzbiddy/status/1867963258143154656","1728455087926747136","gensbazzbiddy"
"1864271590734643227","Wed Dec 04 11:32:38 +0000 2024","1054","Dear pals may I start a tribute to the fantastic Rupes the best ever of all boys. Ballee missed extraordinaire gold standard bovverer! #BovverBoysForever This missed ballee is for you dear Rupert @jennystape https://t.co/gUZcWUTg9g","1864271590734643227","https://pbs.twimg.com/media/Gd85IUfXkAAtZyH.jpg","","en","45 Winchcombe St, Cheltenham","4","36","54","https://x.com/bemorebob2/status/1864271590734643227","1123196060183166977","bemorebob2"
"1455337995763134469","Tue Nov 02 00:56:31 +0000 2021","494","Sketchs randoms con la sudadera roja de la nueva merch . @Rubiu5 ️/#rubiusfanart\ ️ https://t.co/5cqFF1On8f","1455337995763134469","https://pbs.twimg.com/media/FDJmMdWWUAY5mV-.jpg","","es","","0","2","56","https://x.com/rubbright/status/1455337995763134469","1318796403175456768","rubbright"
"1575990917449666560","Fri Sep 30 23:28:09 +0000 2022","1792","Robleis contando su perspectiva cuando Rubius le llamó para cargarse al bicho de su casa: https://t.co/hgfDl817Fg","1575990917449666560","https://pbs.twimg.com/ext_tw_video_thumb/1575990587513339904/pu/img/Z1RCIMjX-FoGwwk0.jpg","","es","Hyrule | Konoha ⸝͟๏︠","1","2","167","https://x.com/triforcepierce/status/1575990917449666560","1267289970638807044","triforcepierce"
"1540757519001219072","Sat Jun 25 18:03:13 +0000 2022","317","ARI ENTRANDO CON ROPA EN COLABORACION CON RUBIUS: https://t.co/phXhsGQbqd","1540757519001219072","https://pbs.twimg.com/ext_tw_video_thumb/1540757384707985408/pu/img/_mcwQ_nGgilHUj6e.jpg","","es","Hyrule | Konoha ⸝͟๏︠","0","1","71","https://x.com/triforcepierce/status/1540757519001219072","1267289970638807044","triforcepierce"
