"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1782988579721089526","Wed Apr 24 04:22:58 +0000 2024","3308","Kita punya cara membuat bukti bakti yang akan terus tumbuh. BCA selalu mengupayakan melalui aktivitas bagi kebaikan putra-putri bangsa masyarakat dan alam. Bakti BCA menggandeng @nicsap &amp; kita semua membuat lebih banyak jejak #BuktiBaktiBCA ke penjuru nusantara. https://t.co/Z5csp3HkDu","1782988579721089526","https://pbs.twimg.com/media/GL5yTQvbUAAeOlm.jpg","","in","","124","74","316","https://x.com/undefined/status/1782988579721089526","567255514",
"1851903228751024376","Thu Oct 31 08:25:11 +0000 2024","9438","wajah-wajah pemegang BCA Priotitas. Apakah suaminya PNS kelurahan atau PNS Pemda? Suaminya minimal punya pabrik di Kawasan Rungkut https://t.co/1SwY8wtBH7","1851903228751024376","https://pbs.twimg.com/ext_tw_video_thumb/1851903102628302848/pu/img/7XYeEM7lX74QGp29.jpg","","in","","118","299","888","https://x.com/undefined/status/1851903228751024376","125235427",
"1774416303719326169","Sun Mar 31 12:39:48 +0000 2024","238","Funfact: Jika kamu beli BTC 100 juta bulan lalu sekarang udah profit 16.4 juta (jadi 116 juta). Bandingkan dengan top player IHSG BBCA butuh waktu 1 tahun naik 16% shm! https://t.co/BmGDZxReS2","1774416303719326169","https://pbs.twimg.com/media/GJ_-OVWacAAibTp.jpg","","in","","28","108","14","https://x.com/undefined/status/1774416303719326169","1336580251493646343",
"1841789121347682600","Thu Oct 03 10:35:19 +0000 2024","65","Di masa bearish baiknya pantau saham2 bluechip stabil dan tua yang selalu profit naik atau tetap profitnya bagi dividen dan yang pbv nya mendekati minimal misal bbca 3 sd 4 Asii sekitar 0.85 sd 1 nah akumulasi deh pelan2. Jualnya kapan? Ketika dekat maximal lah pbv nya https://t.co/OtKk4Eszuw","1841789121347682600","https://pbs.twimg.com/media/GY9ZcECbAAECjiM.jpg","","in","","1","4","17","https://x.com/undefined/status/1841789121347682600","1260798424393211904",
"1750656244887794149","Thu Jan 25 23:05:49 +0000 2024","69","$BBCA rilis lapkeu Q423 EPS nya tiap tahun terus naik Kreditnya tumbuh NPL nya terjaga Sehat banget emiten ini Nabung aja di sini Floating loss di BCA adalah sebuah kesempatan Gak perlu di kejar karena dia gak akan kasi cuan 100% dalam 1 tahun https://t.co/3Ub5EQUW5s","1750656244887794149","https://pbs.twimg.com/media/GEuUktZaQAA1Dm2.jpg","","in","","3","4","9","https://x.com/undefined/status/1750656244887794149","1634788663",
"1786625197854064717","Sat May 04 05:13:35 +0000 2024","8","BBCA naik sampai ARA 19 9%? Yah hanya mockup trading. https://t.co/LdSnYSyz0X","1786625197854064717","https://pbs.twimg.com/media/GMteJbpbMAAYWpJ.jpg","","in","","0","0","0","https://x.com/undefined/status/1786625197854064717","139982550",
"1750704453081350605","Fri Jan 26 02:17:22 +0000 2024","0","Cuannya $BBCA naik 19 39%. Mantap. https://t.co/eserIk9Yre","1750704453081350605","https://pbs.twimg.com/media/GEu_-bYasAAKupY.png","","in","","0","0","0","https://x.com/undefined/status/1750704453081350605","3056029316",
"1362702364336001024","Fri Feb 19 09:55:36 +0000 2021","2913","Pagi - pagi minum jamu Sarapannya pake bihun Ada yang spesial untuk kamu Tanggal 20 Februari ini ada Tradisi Diskon Meriah dari BCA yang ulang tahun Yuk rame-rame nikmati keseruan HUT BCA 64 #TradisiBCA #HUTBCA64 https://t.co/UfBghNjrw6","1362702364336001024","https://pbs.twimg.com/amplify_video_thumb/1362700812657467394/img/GGNdimA4PmeDxMpL.jpg","","in","","55","162","278","https://x.com/undefined/status/1362702364336001024","17824435",
"1575297495546048512","Thu Sep 29 01:32:45 +0000 2022","19","Ada yg komen perbandingan BCA dan BBRI vs bank juga dong. Ini harga saham Deutsche Bank bank terbesar di Jerman. Selama 20 tahun jatuh 72%. Dalam 20 tahun harga saham BBCA naik 100 kali lebih :) https://t.co/ie23h2ytj7","1575297495546048512","https://pbs.twimg.com/media/FdyUuIXUUAAoK5b.jpg","","in","","0","0","4","https://x.com/undefined/status/1575297495546048512","190535830",
"1782379736360169929","Mon Apr 22 12:03:38 +0000 2024","74","Breaking ‼️ BBCA mencatatkan laba bersih sebesar Rp12 9 T (+5 4% QoQ +11 7% YoY) pada 1Q24 didorong oleh Net Interest Income yang naik menjadi Rp19 8 T (+2% QoQ +7% YoY) sehingga Pre-Provision Operating Profit (PPOP) naik menjadi Rp16 9 T (+9 4% QoQ +8 5% YoY). https://t.co/bdHIe7nf0n","1782379736360169929","https://pbs.twimg.com/media/GLxIcyXbAAAG5FJ.jpg","","in","","3","4","6","https://x.com/undefined/status/1782379736360169929","587189716",
