"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1851903228751024376","Thu Oct 31 08:25:11 +0000 2024","10485","wajah-wajah pemegang BCA Priotitas. Apakah suaminya PNS kelurahan atau PNS Pemda? Suaminya minimal punya pabrik di Kawasan Rungkut https://t.co/1SwY8wtBH7","1851903228751024376","https://pbs.twimg.com/ext_tw_video_thumb/1851903102628302848/pu/img/7XYeEM7lX74QGp29.jpg","","in","","118","301","1007","https://x.com/el_sulfat/status/1851903228751024376","125235427","el_sulfat"
"1859138690804838711","Wed Nov 20 07:36:19 +0000 2024","139","Saya Sedang Berusaha Mewartakan Memecoin Kepada Orang2 Saham Di IDX Tentang Teknologi #MooDengSOL Yang Akan Mengalahkan Market Cap Saham Bluechip BCA Dalam Beberapa Dekade Kedepan. https://t.co/AFUbposoe9","1859138690804838711","https://pbs.twimg.com/amplify_video_thumb/1859138341998104576/img/PuKsI7L_QQy95My_.jpg","","in","Kota Surabaya, Jawa Timur","1","14","8","https://x.com/IpangCrypto/status/1859138690804838711","1302024887947554816","IpangCrypto"
"1859494379574132867","Thu Nov 21 07:09:42 +0000 2024","0","galau beli saham bca apa beli baju lafiye https://t.co/o7OvmoRJVE","1859494379574132867","https://pbs.twimg.com/media/Gc5ASAXaAAA9SBt.jpg","","in","","0","1","0","https://x.com/owyslave/status/1859494379574132867","1430803756451459075","owyslave"
"1707545105803120914","Thu Sep 28 23:57:32 +0000 2023","443","Kasus Korupsi BTS ternyata mengalir kesalah satu oknum Badan Pemeriksa Keuangan (BPK) Saksi mengaku ada sekitar 40 MILIYAR dana yang mengalir kebadan yang memiliki tanggung jawab pemeriksaan keuangan negara Ibarat anti virus malah kena virus https://t.co/el4XnAVeV2","1707545105803120914","https://pbs.twimg.com/ext_tw_video_thumb/1707545032029536256/pu/img/WSmHiEwTN-vuMicO.jpg","","in","Always in your heart","42","74","147","https://x.com/profesor_saham/status/1707545105803120914","1345898259445817345","profesor_saham"
"1098786220652425216","Fri Feb 22 15:19:52 +0000 2019","2375","Ini dia keseruan di hari pertama #BCAExpoversary2019! Opening ceremony #BCAExpoversary2019 dilakukan oleh Presiden Direktur BCA Jahja Setiaatmadja dan jajaran direksi BCA secara bersamaan untuk membuka #BCAExpoversary secara serentak di kota Jakarta Palembang dan Surabaya. https://t.co/f6oU5JaMPv","1098965604780765184","https://pbs.twimg.com/ext_tw_video_thumb/1098964837772681216/pu/img/-4ATEWdQ1MpuyKoe.jpg","BankBCA","in","","15","45","172","https://x.com/BankBCA/status/1098965604780765184","567255514","BankBCA"
"1808093262051528956","Tue Jul 02 11:00:01 +0000 2024","1518","PP Muhammadiyah dan PT. BCA Syariah Tandatangani Nota Kesepahaman https://t.co/9AzG6BLL33 #Muhammadiyah #BCASyariah #BankSyariah","1808093262051528956","","","in","Indonesia","102","103","333","https://x.com/muhammadiyah/status/1808093262051528956","73309923","muhammadiyah"
"1707200309611855999","Thu Sep 28 05:58:28 +0000 2023","300","@profesor_saham Ngasih info jangan setengah2 dong. Segitunya banget ngincer engagement. ‍️ Lagian yang blg nasabah saldo nol beban itu adalah presdir BCA Digital bukan BCA konven. ‍️ https://t.co/aWNs0wykgv","1707273548811936097","https://pbs.twimg.com/media/F7F0PakbsAA3YhV.jpg","profesor_saham","in","Indonesia","14","14","64","https://x.com/CallMeNielz/status/1707273548811936097","1241637108931907584","CallMeNielz"
"1846395708750156176","Wed Oct 16 03:40:15 +0000 2024","0","Saham BCA banh https://t.co/0b7gwJcSze","1846395708750156176","","","in","Kota Surabaya, Jawa Timur","0","1","0","https://x.com/hwachell/status/1846395708750156176","1817970929168957445","hwachell"
"1765119296035049699","Tue Mar 05 20:56:49 +0000 2024","1577","*midnight thoughts* Kenapa BBCA itu berada di harga premium diatas semua bank lain? apakah karena NIM nya? apakah CAR nya? apakah NPL rendah? apakah asset qualitynya? apakah efisiensi ROA? apakah branding? ato satpam yg baik? (becanda) Kenapa bisa trading di nilai buku https://t.co/URwc18wLll","1765119296035049699","https://pbs.twimg.com/media/GH72ohhaYAAu8rf.jpg","","in","Middle Earth","6","57","140","https://x.com/timothyronald22/status/1765119296035049699","1361502222840864768","timothyronald22"
"1761205911631327348","Sat Feb 24 01:46:25 +0000 2024","3723","Ke bca sq promo untuk nasabah prioritas dan solitaire (gak di gancit tapi di kempinski sblm buat general sale) mau dateng mesti ada undangannya. Rame? banget cuma antrinya ga kaya di gancit. Isinya apa? Sama org cari diskon cuma saldonya minimal di atas 1m https://t.co/XtX0L8tqk0","1761205911631327348","https://pbs.twimg.com/media/GHEPbeZaQAAzmvE.jpg","","in","Jakarta Capital Region","246","117","849","https://x.com/agannyi/status/1761205911631327348","37871310","agannyi"
"1779778999885185482","Mon Apr 15 07:49:14 +0000 2024","314","tenang ga usah panik ada yang anjlok ada yang to the moon! sambil siapin cash nunggu shm! $BBCA ke 3000! https://t.co/YFgAd0jOy1","1779778999885185482","https://pbs.twimg.com/media/GLMLkTJbsAANepI.jpg","","in","Sukses Finansial","24","48","34","https://x.com/Saham_fess/status/1779778999885185482","1336580251493646343","Saham_fess"
"1707200309611855999","Thu Sep 28 01:07:26 +0000 2023","7659","BREAKING NEWS Setelah sebelumnya sempat mengeluarkan statment nasabah saldo nol merupakan beban Sekarang BCA resmi menutup nasabah yang memiliki Saldo NOL https://t.co/9kxLHVNN5z","1707200309611855999","https://pbs.twimg.com/media/F7ExoUubUAAKtvC.jpg","","in","Always in your heart","897","737","1034","https://x.com/profesor_saham/status/1707200309611855999","1345898259445817345","profesor_saham"
"1865729424374870381","Sun Dec 08 12:05:33 +0000 2024","683","Assalamu alaikum Sahabat Syariah! Susun kata dari huruf-huruf ini tulis jawabanmu di kolom komentar dan menangkan hadiah menarik dari Bank Syariah Indonesia! Ada saldo e-wallet senilai 300K untuk masing-masing pemenang kuis #PahamJadiBerkah Jangan lupa untuk ikuti https://t.co/UxKkQ417di","1865729424374870381","https://pbs.twimg.com/media/GeRnBQpbsAA5Gca.jpg","","in","Jakarta, Indonesia","20","1178","601","https://x.com/bankbsi_id/status/1865729424374870381","141500996","bankbsi_id"
