"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1698499987087216835","Mon Sep 04 00:55:28 +0000 2023","209","Selamat Hari Pelanggan Nasional Sobat BRI! Kami akan selalu memberikan jasa dan layanan perbankan terbaik. BRI akan selalu beradaptasi dengan memberikan layanan yang menyeluruh kepada masyarakat Indonesia pelayanan digital juga menjadi prioritas untuk dapat mempermudah https://t.co/0hZC0xSp7S","1698499987087216835","https://pbs.twimg.com/amplify_video_thumb/1698498695392604160/img/iimXn6mrEUZNMR_c.jpg","","in","","1","71","36","https://x.com/undefined/status/1698499987087216835","1355939492",
"1836347209241301503","Wed Sep 18 10:11:07 +0000 2024","145","Waspada terhadap semua jenis Modus Palsu tolak dengan tegas #BilangAjaGak bersama @vidialdiano ! Waspada dengan ajakan klik link atau aplikasi sembarangan dari nomor yang tidak dikenal. Ingat segala informasi yang benar hanya ada di website resmi BRI dan call center BRI https://t.co/RNkfAAyFZB","1836347209241301503","https://pbs.twimg.com/ext_tw_video_thumb/1836345292792442880/pu/img/Nhp6ipI7xFxyQ0AF.jpg","","in","","6","376","50","https://x.com/undefined/status/1836347209241301503","1355939492",
"1854840391725728174","Fri Nov 08 11:04:29 +0000 2024","366","Karena dr sejarahnya juga BRI dibangun supaya rakjat bisa nabung ngindarin rentenir ngelola dana masjid dll BRI juga sampai skrg mendukung iklusi dan literasi finansial rakjat dengan kehadiran BRILink layanannya sampai ke desa-desa terpentjil. Dr dulu konsisten memberi https://t.co/w4eVJHaxto","1854842423610089751","https://pbs.twimg.com/media/Gb25WaTa0AA61-E.jpg","senjatanuklir","in","","9","15","17","https://x.com/undefined/status/1854842423610089751","1080481376623722507",
"1854840391725728174","Fri Nov 08 11:00:22 +0000 2024","512","Setelah kita merdeka BRI jadi bank pemerintah pertama di Indonesia. Sampai Juni 2023 BRI punya 7.980 outlet jaringan kantor banyak banget sampe di New York pun ada di TAIPEI JUGAA sumpah w 2 minggu lalu keluar MRT Nanjing Fuxing ngeliat tbtb ada logo BRI kaget bgt https://t.co/KC4i9DNpvN","1854841387101175948","https://pbs.twimg.com/media/Gb24Z80aMAAsR7_.jpg","senjatanuklir","in","","13","9","32","https://x.com/undefined/status/1854841387101175948","1080481376623722507",
"1714147291622420933","Tue Oct 17 05:12:16 +0000 2023","157","Sobat BRI. Yuk selalu terhubung dengan BRI melalui Contact BRI 1500017. Contact BRI juga memiliki Pusat Bantuan via BRImo atau melalui Sabrina 0812-12-14017. Pastikan hanya menghubungi akun media sosial resmi BRI yang sudah terverifikasi. #BRIEdukasi https://t.co/EhgzdnyHK3","1714147291622420933","https://pbs.twimg.com/media/F8nfxz7aIAAls4h.jpg","","in","","0","10","9","https://x.com/undefined/status/1714147291622420933","1355925366",
"1870427472669663321","Sat Dec 21 11:13:55 +0000 2024","3","Seorang Pria merasa kesal dengan pelayanan Pegawai Bank saat ingin menukar uang logam. @bank_indonesia @promo_BRI https://t.co/s26dkQNKLv","1870427472669663321","https://pbs.twimg.com/ext_tw_video_thumb/1870427333532037120/pu/img/Zlx_unz0EtiOE1Wm.jpg","","in","","0","2","2","https://x.com/undefined/status/1870427472669663321","2400850110",
"1721812749842595990","Tue Nov 07 08:52:03 +0000 2023","149","Pendaftaran BRILiaN Future Leader Program (BFLP) General dan IT telah dibuka hingga 14 November 2023 BRI Kembali membuka peluang buat kamu yang ingin meraih mimpimu sebegai Future Leader untuk belajar bertumbuh dan berkontribusi Memberi Makna Indonesia 🇮🇩 Untuk info https://t.co/HM8XxqZO7l","1721812749842595990","https://pbs.twimg.com/media/F-Ubj1xbEAAQbMx.jpg","","in","","1","15","7","https://x.com/undefined/status/1721812749842595990","1355939492",
"1709842642484564021","Thu Oct 05 08:07:07 +0000 2023","156","Sobat BRI. Sekarang pengajuan dan pantau status pengaduan lebih mudah cukup melalui BRImo atau Chat Sabrina di 0812-12-14017. Selamat mencoba sehat dan sukses selalu ya. #BRIEdukasi https://t.co/IUs7RWDumP","1709842642484564021","https://pbs.twimg.com/media/F7qUV9HbAAAQAFV.jpg","","in","","0","4","7","https://x.com/undefined/status/1709842642484564021","1355925366",
"1852229007355580764","Fri Nov 01 05:59:42 +0000 2024","0","Ombudsman RI dan BRI Kolaborasi Perkuat Tata Kelola Pelayanan Publik #OmbudsmanRI #BRI #PelayananPublik #GoodGovernance #Maladministrasi Baca: https://t.co/JsQ4rWmLzZ -BiBiNimerva https://t.co/zOR2L5JYpr","1852229007355580764","https://pbs.twimg.com/media/GbRwdaobAAAd045.jpg","","in","","0","0","0","https://x.com/undefined/status/1852229007355580764","1687094580670615552",
"1881659633707921898","Tue Jan 21 11:06:30 +0000 2025","3","Arti 'Berani Jadi Lebih' bagi BRI adalah berani melangkah maju dengan mengadopsi solusi-solusi terdepan sehingga dapat terus meningkatkan kualitas pelayanan kami. BRI selalu berkomitmen untuk memberikan yang terbaik bagi nasabah. https://t.co/SCwbfjm4Oo","1881659633707921898","https://pbs.twimg.com/media/Ghz_dNkagAAGqPj.jpg","","in","","0","1","0","https://x.com/undefined/status/1881659633707921898","1234697154989568000",
