"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1862168063837347998","Thu Nov 28 16:13:58 +0000 2024","1","kemeriahan Panen Hadiah Simpedes Semester I brand office Subang ayo menabung di tabungan Simpedes mulai dari sekarang!Terus tingkatkan saldonya dan ikuti pengundian panen hadiah simpedes setiap 6 bulan sekali. #Simpedes #BankBRI #panenhadiahsimpedes #BOSubang #ROBandung https://t.co/EFv6uF6OqC","1862168063837347998","https://pbs.twimg.com/ext_tw_video_thumb/1862167913114804224/pu/img/xjI-TEZOkTf_Bksy.jpg","","in","Subang, Indonesia","0","0","0","https://x.com/mheruyudha/status/1862168063837347998","3306149840","mheruyudha"
"1874088644874821953","Tue Dec 31 13:42:06 +0000 2024","1","Jual cepat ruko 2 5 lantai sederet kantor Bank BRI Ry Kalimalang Lampiri Pd Kelapa persis di exit tol Becakayu FIRST GALAXY 085888968882 087888968882 0818968882 #rukodijual #kalimalang #bankbri #investasi #property https://t.co/MyYp7m7bD1","1874088644874821953","https://pbs.twimg.com/ext_tw_video_thumb/1874088592429260800/pu/img/cU3OHnk6zgKMxx8X.jpg","","in","ÜT: -6.268709,106.96718","0","0","0","https://x.com/elrachman/status/1874088644874821953","108183306","elrachman"
"1873591587080679604","Mon Dec 30 04:46:58 +0000 2024","0","Apakah Bank BRI akan bangkrut? #bankbri #sahambankbri #investasi #investasisaham #bbri #bankbribangkrut #pasarmodal https://t.co/C4Gl9p6n3B","1873591587080679604","https://pbs.twimg.com/ext_tw_video_thumb/1873591224436961280/pu/img/rpPoXhHCENjva_yq.jpg","","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/SukatendelRuben/status/1873591587080679604","4210913724","SukatendelRuben"
"1863460236692193454","Mon Dec 02 05:48:36 +0000 2024","0","Karikatur konsep My Trip My adventure #OFFRoad #mytripmyadventure #healing #piknik #wisataalam #tunasmandirifinance #bankmandiri #bumnuntukindonesia #bankbtn #mabestni #mabespolri #BNI46 #bankbri #banksyariahindonesia #pertamina #KemendesPDT #pensiun #jasindo #jasamarga https://t.co/dU4qj3lH7e","1863460236692193454","https://pbs.twimg.com/media/GdxXNdKbMAAvBLy.jpg","","en","","0","0","0","https://x.com/KarikaturLucu/status/1863460236692193454","1277209578","KarikaturLucu"
"1858520322028494925","Mon Nov 18 14:39:09 +0000 2024","12","Yang pake BRI Mobile aka Brimo ada yang error ga sih? Transfer gabisa2 drtd :( #brimo #bankbri","1858520322028494925","","","in","","0","27","0","https://x.com/hereissaf/status/1858520322028494925","1426765819451633669","hereissaf"
"1867927638586900572","Sat Dec 14 13:40:28 +0000 2024","0","BRI menegaskan komitmennya untuk menyukseskan program Makan Bergizi Gratis (MEG) @BANKBRI_ID @erickthohir @KemenBUMN #bankbri #erickthohir #kementrianbumn https://t.co/u4qK2S4ygo","1867927638586900572","https://pbs.twimg.com/media/Gew2SXbbEAEsy0_.jpg","","in","Indonesia","0","0","0","https://x.com/monitordaycom/status/1867927638586900572","70600007","monitordaycom"
"1868611032828297282","Mon Dec 16 10:56:01 +0000 2024","1","BBRI bagi-bagi bonus akhir tahun 2024. Siapa yang mau Sobat Phillip? Reply tweet ini cusss! #SaatnyaInvestasi #POEMS #dividenBBRI #BBRI #sahamBBRI #sahamBRI #BankBRI #dividensaham https://t.co/PwOirNm0A5","1868611032828297282","https://pbs.twimg.com/media/Ge6jwtZbgAA0kdq.jpg","","in","Indonesia","0","1","1","https://x.com/TalkToPhillip/status/1868611032828297282","176733069","TalkToPhillip"
"1804316419460595976","Sat Jun 22 00:52:11 +0000 2024","0","HOTNEWS BATAMPOS - Tiga Terdakwa Kasus BRI Ajukan Banding. - Karyawan Vendor Pengisian ATM Bank Mandiri Curi Uang Rp 1 1 Miliar. - Penyekap dan Pemerkosa Siswi SMP Babak Belur Diamuk Massa di Sagulung. #BRI #bankBRI #penggelapan #dananasabah #batam https://t.co/x0mpQjUj3M https://t.co/Xh0N40ZUrQ","1804316419460595976","https://pbs.twimg.com/ext_tw_video_thumb/1804316344827199488/pu/img/VbMeeMtHixLGKJxp.jpg","","in","Orchad Walk Blok H-1, Batam","0","0","0","https://x.com/BatamPos/status/1804316419460595976","60490875","BatamPos"
"1861255260788137999","Tue Nov 26 03:46:49 +0000 2024","0","Maladministrasi yang dilakukan oleh karyawan dan pimpinan cabang BRI Veteran merugikan pengusaha muda. Ini bisa merusak nama baik pemerintah. #davidrahardja #bankbri #ombudsman","1861255260788137999","","","in","Indonesia","0","0","0","https://x.com/ojadawipra/status/1861255260788137999","1733834840662044672","ojadawipra"
"1870213741285110252","Fri Dec 20 21:04:37 +0000 2024","1","Tau gaaa bri Kenapa gni Udah datang ke kantor katanya gbsa di cekkan saldo nya gbsa digunaiiii lagiiii malahan dituduh rekning judol Padahal mah itu gaji w sma calon laki guaa untuk nikah @BANKBRI_ID #indo #IndonesiaBebasDariJudol #bankbri #balikinduit https://t.co/8L26ZPttwp","1870213741285110252","https://pbs.twimg.com/media/GfRVez5asAElAPh.jpg","","in","","1","1","0","https://x.com/VanessaPricila9/status/1870213741285110252","1124189847143366656","VanessaPricila9"
