"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1873649932512665818","Mon Dec 30 08:38:49 +0000 2024","16","2020年に会社を辞めたきっかけは人間関係。 人 恐怖症。独立して精神的リハビリをするような感じで一人黙々と仕事をしてきた。昨年（2023）YouTubeをきっかけに出会いの機会が増え、人の温かさに触れ、大の苦手だった人前に出て話すまでに。本当に感謝‍️感謝！","1873649932512665818","","","ja","","0","0","1","https://x.com/bbri_kozy/status/1873649932512665818","199572912","bbri_kozy"
"1361674257680396289","Tue Feb 16 13:50:16 +0000 2021","22","$BBRI dipegang 56.7% sama negara kita loh pa bodoh jangan dipelihara. https://t.co/j0qoi5Ib0H","1361674257680396289","https://pbs.twimg.com/media/EuWjhKdUUAAIi7D.jpg","","in","Middle Earth","0","4","2","https://x.com/timothyronald22/status/1361674257680396289","1361502222840864768","timothyronald22"
"1870271706251857973","Sat Dec 21 00:54:57 +0000 2024","8","【賃貸契約の『初期費用』】一般的な相場でいくと『賃料の5ヶ月分』くらい。6ヶ月分以上だと高め設定、4ヶ月以下だと安め設定。物件の比較をすると『うまいこと設定してるなぁ』と気づいてくる。気に入った物件＝やっぱり高い...ここが気持ちを迷わせる。お買い物の共通点ですね。","1870271706251857973","","","ja","","0","0","2","https://x.com/bbri_kozy/status/1870271706251857973","199572912","bbri_kozy"
"1871021759652315430","Mon Dec 23 02:35:24 +0000 2024","9","集客目的であれば再生回数100回を目指す。YouTubeをやってる人はわかると思うが『100回って結構大変』。この100回が『100人観てくれてる』と考えるとすごいこと。投稿した動画がコンスタントに100回を越えれば良き。1 000回すごすぎ。10 000回エグい。 そしてまた 『その100人に向けて動画を届ける』","1871021759652315430","","","ja","","1","0","1","https://x.com/bbri_kozy/status/1871021759652315430","199572912","bbri_kozy"
"1872994340735533537","Sat Dec 28 13:13:44 +0000 2024","10","来年に向けてYouTube動画の台本作成中。どんな内容をどのように構成してお届けすれば『物件探し』の役に立つか。その動画を観て『不安の解消』『動き出しの一歩』『悩み解決』のお手伝いができるか。すごい真剣に考える。どうしても手を抜けないところ。←という頑固さが時間がかかる自分の欠点。","1872994340735533537","","","ja","","0","0","1","https://x.com/bbri_kozy/status/1872994340735533537","199572912","bbri_kozy"
"1872469752322683029","Fri Dec 27 02:29:12 +0000 2024","9","siganme en mi side @bbbbbru7","1872469752322683029","","","es","","1","2","0","https://x.com/4fterglow/status/1872469752322683029","1715192909224394754","4fterglow"
"1870410889524089233","Sat Dec 21 10:08:01 +0000 2024","8","YouTubeはハードルが高く感じる。でもやろうと 思ってる 人は多い。じゃあ簡単にできる方法がないかを考える.....無い。ポータルサイトに載せる様な内見動画をパッと撮って投稿しても...‍️結果...やってみてもハードルは依然高いまま。でもちゃんと理解してやればハードルは越えられる。高いけど...","1870410889524089233","","","ja","","0","0","3","https://x.com/bbri_kozy/status/1870410889524089233","199572912","bbri_kozy"
"1871536175103746118","Tue Dec 24 12:39:30 +0000 2024","8","Tahun depan gw nyambi trading forex keknya. Buat nabung saham tahun ini udh cukup keknya mayan dividen 1x UMR Jogja. Plan trading tahun depan. Dah masuk IPO #RATU $CBDK #HGII gajian masuk #KSIX - Nyicil avg down saham BBRI smpe maret bagi dividen utama","1871536175103746118","","","in","","0","1","0","https://x.com/asuma471/status/1871536175103746118","1506476051697848326","asuma471"
"1872958184811577738","Sat Dec 28 10:50:03 +0000 2024","252","Untuk Tahun 2025 Gw tetap pakai skema investasi yang sama seperti tahun 2024 yaitu : - Dividen hunter - Kolektor IPO Sama tambahan 1 lagi - ngurusin $BBRI yg lagi nyangkut 12%. Hahaha Jadi kemungkinan 3 topik di atas yang tetap mendominasi di X gw https://t.co/iELaJfgfIs","1872958184811577738","https://pbs.twimg.com/media/Gf4Vix5awAMYbA-.jpg","","in","jakarta selatan","9","35","15","https://x.com/saptaipb/status/1872958184811577738","1634788663","saptaipb"
"1873401820279902255","Sun Dec 29 16:12:54 +0000 2024","40","m desperte caliente","1873401820279902255","","","es","","0","13","3","https://x.com/4fterglow/status/1873401820279902255","1715192909224394754","4fterglow"
