"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1824429605350150461","Fri Aug 16 12:54:48 +0000 2024","854","[AD.] Buat kamu lulusan SMA/K D3/S1 freshgraduate hingga berpengalaman kerja Magang Bakti BCA menunggu kamu loh! Kamu akan ditempatkan sebagai Frontliner di kantor cabang BCA. Kamu akan mendapatkan pengalaman seputar perbankan. Yuk daftar program Magang Bakti https://t.co/9onBwXBMCp","1824429605350150461","https://pbs.twimg.com/media/GVGtDUIaEAEDKki.jpg","","in","","22","45","68","https://x.com/worksfess/status/1824429605350150461","1244597361826885636","worksfess"
"1728032284136411191","Fri Nov 24 12:46:16 +0000 2023","314","Tadi pagi abis ke kantor cabang BCA buat pengkinian data terus sekalian nanya-nanya limit transaksi. Ada info menarik jadi kan sekarang ada 2 aplikasi: MyBCA sama BCA Mobile tuh. Ternyata cukup beda terus nantinya akan dialihkan jadi di myBCA. https://t.co/obQTGmcbxY https://t.co/Ch6F1ir1cD","1728032284136411191","https://pbs.twimg.com/media/F_s0Kqxa8AAtXSa.jpg","","in","Jakarta, Indonesia","8","9","87","https://x.com/andreqve/status/1728032284136411191","281953234","andreqve"
"1605067103182422017","Tue Dec 20 05:06:32 +0000 2022","0","@BankBCA satpam bank BCA cabang KCP Jelambar baru raya buruk pelayanan dan nomor anterian di kasih manual banyak di manipulasi nomor anterian tidak pantas bank BCA mendidik team kasar terhadap saya sebagai nasabah bca yang sudah lama terlalu BCA cabang ini kecewa saya https://t.co/5PmEkGDSgf","1605067103182422017","https://pbs.twimg.com/media/FkZYBFlaYAA-vnv.jpg","BankBCA","in","","0","1","0","https://x.com/XtraXtr00339278/status/1605067103182422017","1548313297186738178","XtraXtr00339278"
"1413466125371727877","Fri Jul 09 11:52:39 +0000 2021","601","Lotaogaseee sekarang BCA gak mau kalah ikutan bikin Bank Digital juga? Namanya BLU by BCAdigital Ini entitas yg berbeda dari Bank BCA konvensional. Semua serba digital. Mari kita kupas apa kelebihan dan kekurangannya : https://t.co/bsO5YBopJi","1413466125371727877","https://pbs.twimg.com/media/E52j800VgAUMa-Z.jpg","","in","Jakarta Capital Region","55","26","178","https://x.com/BanyuSadewa/status/1413466125371727877","55108943","BanyuSadewa"
"1587228364246462464","Mon Oct 31 23:41:45 +0000 2022","0","Sudah 5 hari sejak BCA Mobile ga bisa cek saldo dan top up flazz gen 2. Dan pelayanan buruk dari @HaloBCA yang terus mengulang template yang sama. Benar2 mengecewakan kinerja bank BCA sekarang ini. Malah tidak dibuatkan laporan terkait permasalahannya dibilang ga ada kendala. https://t.co/VyWWYYzCxA","1587228364246462464","https://pbs.twimg.com/media/Fgb3xb_VEAAnJx3.jpg","","in","Indonesia","2","5","0","https://x.com/authenticodavid/status/1587228364246462464","1352125995386429443","authenticodavid"
"1776099122665443624","Fri Apr 05 04:06:43 +0000 2024","3530"," kenapa ya pelayanan di bank ini lama bgt anjritt kek lama bgt mbulet. dah 3x pindah wilayah di bank yg sama tapi tetep aja emang pelayanannya gabisa kayak si BAC ya https://t.co/b5BC1uslv0","1776099122665443624","https://pbs.twimg.com/media/GKX4vLxakAAOZy7.jpg","","in","","443","840","169","https://x.com/convomf/status/1776099122665443624","1314975287294083073","convomf"
"1817897642841768217","Mon Jul 29 12:19:07 +0000 2024","1068","[AD.] Buat kamu lulusan SMA/K D3/S1 freshgraduate hingga berpengalaman kerja Magang Bakti BCA menunggu kamu loh! Kamu akan ditempatkan sebagai Frontliner di kantor cabang BCA. Kamu akan mendapatkan pengalaman seputar perbankan. Yuk daftar program Magang Bakti https://t.co/Ebb47Nd9Ai","1817897642841768217","https://pbs.twimg.com/media/GTp4Q-XbMAAbTHl.jpg","","in","","28","82","77","https://x.com/worksfess/status/1817897642841768217","1244597361826885636","worksfess"
"1769334632854765875","Sun Mar 17 12:07:03 +0000 2024","7717","cerewet banget sama temen2 sendiri supaya migrasi ke myBCA. fyi aja BCA Mobile tuh akan slowly dibiarkan ditinggalkan karena tabungan CC deposito reksadana obligasi semua ada di myBCA weyyy https://t.co/VieYU7z1aO","1769334632854765875","https://pbs.twimg.com/media/GI3wdraa4AAtKpR.jpg","","in","","807","615","1149","https://x.com/biasalahanakmud/status/1769334632854765875","1482225970350530561","biasalahanakmud"
"1722787042940407856","Fri Nov 10 01:23:33 +0000 2023","0","Punya 3 account bank BCA Muamalat &amp; CIMB. Tebak mana yg pelayanan paling buruk?","1722787042940407856","","","in","Bandung, Indonesia","0","0","0","https://x.com/arinaisan/status/1722787042940407856","58986486","arinaisan"
"1534008972810022913","Tue Jun 07 14:36:54 +0000 2022","211","@achietmokoginta @BankBCA Sumpah kemaren gua ditelpon juga sama yg ngaku bca dengan no whatsapp ini (iya nelpon via wa) gua tau dia nipu nyuruh isi form ntar di link lah gua ulur2 waktu sama gua ledek eh dia kesel langsung wa gua gini wkwk cape bgt penipu jaman skrg baperan https://t.co/1oEdqPsVEs","1534182616257073152","https://pbs.twimg.com/media/FUqC8laVEAE-RdH.jpg","kyndlyfe_inbali","in","","7","8","30","https://x.com/MbakEnur/status/1534182616257073152","232794889","MbakEnur"
"1778998390745149788","Sat Apr 13 04:07:23 +0000 2024","3733","BCA emang keren bgt yaa aplikasi myBCA nya canggih aplikasi Halo BCA nya juga memudahkan bgt nelpon CS langsung kesambung ga pake nunggu lama harus pencet2 nomor kaya bank lain trus barusan laporan transaksi cc yg ga dikenal langsung diproses dan bakal di refund https://t.co/BHS2oPVgM8","1778998390745149788","https://pbs.twimg.com/media/GLBFl76agAE-pg9.jpg","","in","Jakarta","188","269","594","https://x.com/Widino/status/1778998390745149788","105714755","Widino"
"1261124747129044992","Fri May 15 05:17:32 +0000 2020","81","@BanyuSadewa Pdhl di era thn 2000-an pelayanan satpam bca itu termasuk yg paling buruk. Dulu standar yg dipake adlh satpamnya bank niaga (sblm merger sama cimb) pelayanannya paling josss. Makin kesini kyknya bca mulai belajar utk memperbaiki pelayanannya &amp; skg menjd yg terbaik","1261163787798769667","","BanyuSadewa","in","ÜT: -7.0021111,110.4463755","0","1","1","https://x.com/papiabel/status/1261163787798769667","77924114","papiabel"
"1831528441461776456","Thu Sep 05 03:03:03 +0000 2024","52632","Gue barusan ke BCA. Yang bantu gue bukan Satpam BCA. Tapi CS bukan Customer Service melainkan CLEANING SERVICE.. Gila ini BCA trainingnya sampe Cleaning Service bisa bantu kebutuhan nasabah yang ga terlalu ribet.","1831528441461776456","","","in","Tokyo-to, Japan","749","662","5872","https://x.com/fxmario/status/1831528441461776456","56070794","fxmario"
"1346015436949766144","Mon Jan 04 08:47:42 +0000 2021","1","Sebagai nasabah Bank BCA gue kaget sama pelayanan Bank Mandiri buruk banget","1346015436949766144","","","in","idk idc iloveu","0","8","0","https://x.com/termnies/status/1346015436949766144","1140257571179122688","termnies"
"1765119296035049699","Tue Mar 05 20:56:49 +0000 2024","1592","*midnight thoughts* Kenapa BBCA itu berada di harga premium diatas semua bank lain? apakah karena NIM nya? apakah CAR nya? apakah NPL rendah? apakah asset qualitynya? apakah efisiensi ROA? apakah branding? ato satpam yg baik? (becanda) Kenapa bisa trading di nilai buku https://t.co/URwc18wLll","1765119296035049699","https://pbs.twimg.com/media/GH72ohhaYAAu8rf.jpg","","in","Middle Earth","6","56","142","https://x.com/timothyronald22/status/1765119296035049699","1361502222840864768","timothyronald22"
"1563170228292718592","Fri Aug 26 14:23:19 +0000 2022","262","Bank BCA baru2 ini sempet viral karena kepala layanan-nya jemput kucing liar pake mobil sebab dicariin nasabah Hal2 kecil kaya gini aja bank BCA sangat memperhatikan nasabahnya. Nah dalam dunia pelayanan itu disebut customer delight Apa ya itu? simak~ https://t.co/TJNiiszA8m","1563170228292718592","https://pbs.twimg.com/media/FbF7U06UYAgc2Tn.jpg","","in","","6","5","58","https://x.com/myskill_id/status/1563170228292718592","1299606533764837383","myskill_id"
"1389520404344152067","Tue May 04 10:00:55 +0000 2021","572","Ayo kenalan dengan myBCA! Sebuah #LangkahAwal untuk memberikan pengalaman mobile dan internet banking yang lebih baik dan lebih simpel. Saatnya memulai langkah awal ini dan rasakan kemudahan bertransaksi di myBCA! Cek infonya di: https://t.co/JaVq2r2fJN https://t.co/8wi6YhZza2","1389520404344152067","https://pbs.twimg.com/ext_tw_video_thumb/1389520024688156673/pu/img/2FbNBo6GhtuLq2q1.jpg","","in","","9","17","31","https://x.com/BankBCA/status/1389520404344152067","567255514","BankBCA"
"1449339470705094661","Sat Oct 16 11:40:31 +0000 2021","6098","Ngomong2 soal Satpam BCA I have no bad words; gue dateng ke kantor BCA sebluwek apapun dandanan gue pake celana sepaha; kaos swanlake mereka tetep sopan dan melayani. Padahal mau ngajuin percepatan bayar kredit loh... Top banget dah emang BCA","1449339470705094661","","","in","Behind GM's Screen","198","226","967","https://x.com/SoundOfYogi/status/1449339470705094661","93882850","SoundOfYogi"
"1456284552096141316","Thu Nov 04 15:37:48 +0000 2021","11","@HaloBCA Sy surprised bank sekelas BCA pelayanan thd nasabah buruk. Adik sy nasabah kartu kredit BCA. 10 tahun sdh tdk menggunakan tapi dinyatakan menunggak selama 600 hari. Kemarin dilunasi di kantor BCA Asem baris Tebet. Anehnya Surat keterangan lunas tdk bisa diberikan. Thread","1456284552096141316","","HaloBCA","in","Melbourne - Jakarta ","2","5","8","https://x.com/DianFatwa/status/1456284552096141316","58765066","DianFatwa"
"1603555844708532224","Fri Dec 16 01:01:20 +0000 2022","3125","#AwasModus penipuan mengatasnamakan BCA! Selalu jaga data pribadi perbankan Anda! #TolakDenganAnggun siapa pun yang meminta Nomor Kartu ATM PIN Kode OTP atau Kode CVV/CVC. Menjaga kerahasiaan dan terhindar dari penipuan dimulai dari diri sendiri! Info: https://t.co/GO0qpH08C2 https://t.co/kpY0Y19olw","1603555844708532224","https://pbs.twimg.com/amplify_video_thumb/1603555515174641664/img/biILGw0CRAKkmCUN.jpg","","in","","310","226","357","https://x.com/BankBCA/status/1603555844708532224","567255514","BankBCA"
"1798939229416006096","Fri Jun 07 04:45:09 +0000 2024","8001","barusan ke bca. Ganti 3 atm yg exp. cuma bawa ktp + atm lama. (ga perlu buku) pake mesin. langsung jadi. Tanpa wawiwu isi form + ttd + fc ktp CS nya gapyak. emang bank ini gokil ~ketoke masalah sampah kota ini nek dicekel wong2 bca bakal cepet beres deh","1798939229416006096","","","in","","363","407","1455","https://x.com/paksiraras/status/1798939229416006096","72245301","paksiraras"
"1712678464392982787","Fri Oct 13 03:55:40 +0000 2023","9868","Orang ada problem sama BCA ya kalo orang waras pasti pikiran pertama adalah nelpon HaloBCA dulu. Lah ini malah marah dulu viral-viralin di TikTok pas ditanya udah nelpon HaloBCA apa belum jawabannya gak kepikiran. Hadeh generasi dikit-dikit spall spill spall spill ini.","1712678464392982787","","","in","Germany","401","43","2376","https://x.com/tiuwtiw/status/1712678464392982787","2662512480","tiuwtiw"
"1723940174759883033","Mon Nov 13 05:45:41 +0000 2023","0","udah paling bener jadi nasabah bca pelayanan bank lain buruk banget","1723940174759883033","","","in","","0","0","0","https://x.com/asepmj4/status/1723940174759883033","1116683344631058432","asepmj4"
"1439579078378483717","Mon Sep 20 03:18:15 +0000 2021","21","@8balJrOfficial @IndiHomeCare ATM BCA dulu juga gangguan tapi mereka kasih kompensasi biar nasabah bisa tarik tunai di ATM bank lain gratis.. lah ini BUMN Telkom Indihome jaringan gangguan disuruh nunggu sampe kelar gaada kompensasi samsek. Harga lebih mahal tapi pelayanan lebih buruk","1439790985253326848","","8balJrOfficial","in","Wakanda","0","1","0","https://x.com/ClimbingGuy3000/status/1439790985253326848","1297861488300851202","ClimbingGuy3000"
"1396387195133448199","Sun May 23 08:47:05 +0000 2021","34106","Inilah hebatnya BCA. Bank lain kena masalah pengaduan nasabah. BCA diem aja do their usual best orang2 kasih testimoni positif organik soal pengalaman mereka dgn BCA Brand apapun layak meniru komitmen BCA. They re NOT always perfect but they re clearly trying their best.","1396387195133448199","","","in","","2211","1124","7990","https://x.com/aliralira/status/1396387195133448199","252461798","aliralira"
"1452860923933192194","Tue Oct 26 05:03:40 +0000 2021","205","Ini dia ngejek apa guenya yg sensitif karena terlanjur sebel? Padahal gue emg sempet daftar rekening bca tapi gk pernah kupake. Yaudah rekening saya ditutup otomatis soalnya berbulan-bulan gk dipake samsek https://t.co/PD5BnknkXm","1452863477807128576","https://pbs.twimg.com/media/FCmbn-hUYAkMRva.jpg","jaeminstroberi","in","","123","17","12","https://x.com/jaeminstroberi/status/1452863477807128576","1327321969654566913","jaeminstroberi"
