"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1786022527699189996","Thu May 02 13:18:47 +0000 2024","114","Kalo lgi begini Gw gak screeninglah Big bank pada diskon Ya gw di situ dulu. Liat dari EPS nya $BBRI 2021 205 2022 338 2023 397 2024 419 Naik kok https://t.co/Iy4VqLnOuI","1786022527699189996","https://pbs.twimg.com/media/GMk6Bg-aYAAQia5.jpg","","in","","2","8","16","https://x.com/undefined/status/1786022527699189996","1634788663",
"1845225009205346828","Sat Oct 12 22:08:19 +0000 2024","701","Shm! inilah alasan BMRI &gt;&gt;&gt; BBNI &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; BBRI https://t.co/CldAghhhfU","1845225009205346828","https://pbs.twimg.com/media/GZuOXdZaAAIP4q4.jpg","","in","","16","14","44","https://x.com/undefined/status/1845225009205346828","1336580251493646343",
"1860881079860863364","Mon Nov 25 02:59:57 +0000 2024","75","Pasar saham IHSG naik tajam hingga 100 poin lebih tembus level 7300-an Didorong penguatan saham blue chip big bank $BBCA $BBNI $BMRI $BBRI https://t.co/IpDn1eKuo6","1860881079860863364","https://pbs.twimg.com/media/GdMtQkrbYAAui7w.png","","in","","1","6","10","https://x.com/undefined/status/1860881079860863364","201965045",
"1575297495546048512","Thu Sep 29 01:32:45 +0000 2022","19","Ada yg komen perbandingan BCA dan BBRI vs bank juga dong. Ini harga saham Deutsche Bank bank terbesar di Jerman. Selama 20 tahun jatuh 72%. Dalam 20 tahun harga saham BBCA naik 100 kali lebih :) https://t.co/ie23h2ytj7","1575297495546048512","https://pbs.twimg.com/media/FdyUuIXUUAAoK5b.jpg","","in","","0","0","4","https://x.com/undefined/status/1575297495546048512","190535830",
"1878730354623992160","Mon Jan 13 09:06:36 +0000 2025","0","$BBRI kok naik terus ya https://t.co/iXztFy0C3n","1878730354623992160","https://pbs.twimg.com/media/GhKXTFLaYAA40mo.jpg","","in","","0","0","0","https://x.com/undefined/status/1878730354623992160","1552769130",
"1854840391725728174","Fri Nov 08 11:00:22 +0000 2024","512","Setelah kita merdeka BRI jadi bank pemerintah pertama di Indonesia. Sampai Juni 2023 BRI punya 7.980 outlet jaringan kantor banyak banget sampe di New York pun ada di TAIPEI JUGAA sumpah w 2 minggu lalu keluar MRT Nanjing Fuxing ngeliat tbtb ada logo BRI kaget bgt https://t.co/KC4i9DNpvN","1854841387101175948","https://pbs.twimg.com/media/Gb24Z80aMAAsR7_.jpg","senjatanuklir","in","","13","9","32","https://x.com/undefined/status/1854841387101175948","1080481376623722507",
"1812845561139392989","Mon Jul 15 13:43:57 +0000 2024","102","Sobat BRI Rumah Idaman gak cuma mimpi dengan KPR BRI! Tanpa kawatir bunga tiba2 naik program KPR BRI Berjenjang memberikan kepastian suku bunga selama jangka waktu kredit. Tunggu apalagi yuk #carirumah dan ajukan KPR BRI di https://t.co/nQrBqdyz6B sekarang. info lebih https://t.co/rpgBBcLga0","1812845561139392989","https://pbs.twimg.com/ext_tw_video_thumb/1812845484731740160/pu/img/IxZSgoCfuyH2C1ju.jpg","","in","","0","194","30","https://x.com/undefined/status/1812845561139392989","1398703135",
"1840303416683442357","Sun Sep 29 08:11:40 +0000 2024","5","Bbca.. Bbri turun apa mungkin ihsg naik.. Awal bln 10 koreksi dulu lha.. Kecuali sama gua ych wkwkwjw https://t.co/Rs35euEtqX","1840303416683442357","https://pbs.twimg.com/media/GYoSNEuasAEeD52.jpg","","in","","0","0","0","https://x.com/undefined/status/1840303416683442357","1453409431",
"1879087820868129026","Tue Jan 14 08:47:02 +0000 2025","46","walau BBRI $BBRI tadi pagi sempat bergaya kaya mau naik tapi sorenya ya gini nungging lagi HAHAHA karena asing belum masuk dan/atau usd belum turun dan belum sampai ke pbv per p/s minimalnya sabar deh yaa support TA BBRI 3500 2800 extreme 2100-2000 yang juga sekitar pbv https://t.co/lV818fuxqf","1879087820868129026","https://pbs.twimg.com/media/GhPbzGjbYAAnrue.png","","in","","1","15","14","https://x.com/undefined/status/1879087820868129026","1260798424393211904",
"1882775358979891463","Fri Jan 24 13:00:00 +0000 2025","1","IHSG melesat hingga 7.250 atau naik 4 2% hanya dalam sepekan Investor asing juga mulai borong saham-saham Big Caps seperti BBRI dan BMRI dengan net buy masing-masing Rp1 2 triliun dan Rp219 miliar dalam sepekan. Harga kedua saham tersebut masing-masing naik hingga 12%. https://t.co/QzzQEzElIf","1882775358979891463","https://pbs.twimg.com/ext_tw_video_thumb/1882768853161422848/pu/img/elUey2hcK-lEsZ1D.jpg","","in","","0","0","0","https://x.com/undefined/status/1882775358979891463","920403926",
