"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1882284998105186371","Thu Jan 23 04:31:29 +0000 2025","6387","Seperti biasa BNI selalu terdepan dalam menyampaikan Laporan Keuangannya kepada publik PWC ni boss senggol dong Laba Bersih 21 T https://t.co/FDEyt6P5Xp","1882284998105186371","https://pbs.twimg.com/media/Gh84OtEbgAAdz47.jpg","","in","","306","94","663","https://x.com/undefined/status/1882284998105186371","1345898259445817345",
"1869141784951152670","Wed Dec 18 11:27:38 +0000 2024","462","Papaku mulai bisa dihubungi habis kerja ternyata yg dikuras 2 rekening total 26-29 juta dari mandiri dan bri sempet pindahin dana dr mandiri ke bri trs top up ovo ke nomer tertera dr bri. Penipunya masih coba hubungin papaku dong. Ga habis pikir. https://t.co/eCvYzJ1OSx","1869343762478137751","https://pbs.twimg.com/media/GfE-PWabUAAAbyU.jpg","wayuenai","in","","18","6","8","https://x.com/undefined/status/1869343762478137751","83327275",
"1842156905084666348","Fri Oct 04 10:56:46 +0000 2024","2087","Harta tahta anak direktur bank mandiri️️️ https://t.co/uIeDRpvGoY","1842156905084666348","https://pbs.twimg.com/media/GZCn8CuacAAsS_a.jpg","","in","","109","29","283","https://x.com/undefined/status/1842156905084666348","1109087074404061184",
"1867370896689864987","Fri Dec 13 00:48:10 +0000 2024","3270","Bank BUMN (BNI) digarong oleh CEO MTH Corp Michel dikasih pinjaman dari Bank Negara Rp 600M. Namun pinjaman baru dikembalikan Rp 75 miliar. SEMENTARA Rakyat Pinjam Pinjol ratusan ribu aja dikejar2 DC sampe mo bunuh diri Michael kini tidak diketahui keberadaanya https://t.co/zDU0KL5ouE","1867370896689864987","https://pbs.twimg.com/ext_tw_video_thumb/1867370819317571584/pu/img/rZ1f0wEpDXrkbntt.jpg","","in","","132","580","1748","https://x.com/undefined/status/1867370896689864987","1251824880967774208",
"1179661294963552257","Thu Oct 03 07:35:44 +0000 2019","325","Dalam rangka HUT #mandiri21tahun menangkan saldo #mandiriemoney total Rp7 5 juta dgn mengikuti cerita Dinda yg tayang 1x setiap harinya di masing-masing akun Twitter @bankmandiri @mandirifiesta dan @mandiricard. Cek info lengkap aktivasi: https://t.co/flgl43KBxt https://t.co/utONzJUokG","1179661294963552257","https://pbs.twimg.com/amplify_video_thumb/1179661251124707328/img/eOqYTSVAOQQWRQTC.jpg","","in","","13","46","65","https://x.com/undefined/status/1179661294963552257","2278761810",
"1152442549711208448","Sat Jul 20 04:58:09 +0000 2019","502","Mohon maaf atas ketidaknyamanan yang dialami nasabah terkait dengan perubahan saldo rekening. Corporate Secretary Rohan Hafas menyampaikan saldo nasabah akan segera pulih dalam waktu 2-3 jam ke depan karena sebelum perpindahan ini selalu dilakukan backup data saldo nasabah. https://t.co/HjfFiyHqa8","1152442549711208448","https://pbs.twimg.com/media/D_5MXxsUIAAn0C1.jpg","","in","","283","392","836","https://x.com/undefined/status/1152442549711208448","2278761810",
"1302396092584210432","Sun Sep 06 00:00:00 +0000 2020","161","Lengkapi teka-teki dalam gambar untuk membentuk salah satu produk Mandiri Tabungan yang memungkinkan Sahabat menabung melalui autodebet dari rekening setiap bulan. Cek jawabannya di https://t.co/DAT452XQ9m #tebakanmandiri https://t.co/f8qO8ZXDZW","1302396092584210432","https://pbs.twimg.com/amplify_video_thumb/1301049098074599425/img/gPpt3mTXt2A1u3Uw.jpg","","in","","1","81","27","https://x.com/undefined/status/1302396092584210432","2278761810",
"1769920338597749095","Tue Mar 19 02:54:26 +0000 2024","4473","Pada Januari Fabianus Parus hendak menarik uang lewat mesin Anjungan Tunai Mandiri [ATM] PT Bank Rakyat Indonesia [Persero] Tbk. atau @BANKBRI_ID di Ruteng ibu kota Kabupaten Manggarai. Sebelum menarik uang hasil tabungannya dari bekerja sebagai buruh bangunan di Labuan Bajo https://t.co/UaAFF7bTgA","1769920338597749095","https://pbs.twimg.com/media/GJAE7zLb0AA493-.jpg","","in","","278","564","1659","https://x.com/undefined/status/1769920338597749095","2411986316",
"1266068635916791809","Thu May 28 18:07:39 +0000 2020","167","Penghasilan Bank Indonesia 2019 (91 80T). Terutama dari: Pendapatan Bunga (48 75T) Selisih Kurs Transaksi Valas (21 41T) Transaksi Aset Keuangan (Rp18 70T). Total Beban (46 58T). Terbesar biaya pelaksanaan kebijakan (23.78T). Surplus sebelum pajak (45 22T) setelah (33 35T). https://t.co/qUMgTBWmlF","1266068635916791809","https://pbs.twimg.com/media/EZH6sSiUcAAwiw3.png","","in","","1","15","58","https://x.com/undefined/status/1266068635916791809","718375892",
"1808128231796789541","Tue Jul 02 13:18:58 +0000 2024","5","Yuk! nonton video gimana Livin' Merchant membantu Shadiq pemilik usaha Japanizu Livin' Merchant membantu Shadiq mengelola bisnisnya dari mulai mengatur katalog produk menerima pesanan online dan offline dan cek laporan keuangan dalam satu aplikasi aja! Shadiq memilih https://t.co/UJ8Oi1VvUj","1808128231796789541","https://pbs.twimg.com/amplify_video_thumb/1808128034022871040/img/zI3jmFDtkWzF54Xw.jpg","","in","","0","7","0","https://x.com/undefined/status/1808128231796789541","2278761810",
