"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1769334632854765875","Sun Mar 17 12:07:03 +0000 2024","7721","cerewet banget sama temen2 sendiri supaya migrasi ke myBCA. fyi aja BCA Mobile tuh akan slowly dibiarkan ditinggalkan karena tabungan CC deposito reksadana obligasi semua ada di myBCA weyyy https://t.co/VieYU7z1aO","1769334632854765875","https://pbs.twimg.com/media/GI3wdraa4AAtKpR.jpg","","in","","809","607","1132","https://x.com/undefined/status/1769334632854765875","1482225970350530561",
"1782988579721089526","Wed Apr 24 04:22:58 +0000 2024","3308","Kita punya cara membuat bukti bakti yang akan terus tumbuh. BCA selalu mengupayakan melalui aktivitas bagi kebaikan putra-putri bangsa masyarakat dan alam. Bakti BCA menggandeng @nicsap &amp; kita semua membuat lebih banyak jejak #BuktiBaktiBCA ke penjuru nusantara. https://t.co/Z5csp3HkDu","1782988579721089526","https://pbs.twimg.com/media/GL5yTQvbUAAeOlm.jpg","","in","","124","74","316","https://x.com/undefined/status/1782988579721089526","567255514",
"1851903228751024376","Thu Oct 31 08:25:11 +0000 2024","9436","wajah-wajah pemegang BCA Priotitas. Apakah suaminya PNS kelurahan atau PNS Pemda? Suaminya minimal punya pabrik di Kawasan Rungkut https://t.co/1SwY8wtBH7","1851903228751024376","https://pbs.twimg.com/ext_tw_video_thumb/1851903102628302848/pu/img/7XYeEM7lX74QGp29.jpg","","in","","118","299","888","https://x.com/undefined/status/1851903228751024376","125235427",
"1337709404397871105","Sat Dec 12 10:42:30 +0000 2020","8516","CARA DAFTAR &amp; TIPS SELEKSI BEASISWA PPA / PPTI BCA -- a thread -- beasiswa full 100% 2 5 tahun setara S1 dapet uang saku tiap bulan lulus langsung kerja di bca","1337709404397871105","","","in","","92","267","1192","https://x.com/undefined/status/1337709404397871105","1224536946564722689",
"1765119296035049699","Tue Mar 05 20:56:49 +0000 2024","1559","*midnight thoughts* Kenapa BBCA itu berada di harga premium diatas semua bank lain? apakah karena NIM nya? apakah CAR nya? apakah NPL rendah? apakah asset qualitynya? apakah efisiensi ROA? apakah branding? ato satpam yg baik? (becanda) Kenapa bisa trading di nilai buku https://t.co/URwc18wLll","1765119296035049699","https://pbs.twimg.com/media/GH72ohhaYAAu8rf.jpg","","in","","6","56","141","https://x.com/undefined/status/1765119296035049699","1361502222840864768",
"1779778999885185482","Mon Apr 15 07:49:14 +0000 2024","308","tenang ga usah panik ada yang anjlok ada yang to the moon! sambil siapin cash nunggu shm! $BBCA ke 3000! https://t.co/YFgAd0jOy1","1779778999885185482","https://pbs.twimg.com/media/GLMLkTJbsAANepI.jpg","","in","","24","48","33","https://x.com/undefined/status/1779778999885185482","1336580251493646343",
"1281738188239720448","Fri Jul 10 23:52:52 +0000 2020","2673","Gercep jg BCA. Tempo hari akuisisi Bank Royal. Ternyata Royal Bank akan diubah total menjadi Digital Banking by BCA. Fitur2 digital banking akan jauh lebih lengkap dibanding mobile banking. BCA ini raksasa. Tapi tetap lincah kayak start up kalo inovasi. Innovate or die. https://t.co/g6z6kt8NfO","1281738188239720448","https://pbs.twimg.com/media/EcmmFe_U8AE64Ft.jpg","","in","","223","123","1637","https://x.com/undefined/status/1281738188239720448","190535830",
"1714900375546077653","Thu Oct 19 07:04:45 +0000 2023","9560","Sekilas info: Dana minimal untuk jadi nasabah BCA Prioritas naik dari 500juta ke 1M per bulan ini. https://t.co/2ZRCxQ80YK","1714900375546077653","https://pbs.twimg.com/media/F8yMGNVaoAAMQKS.png","","in","","897","454","1617","https://x.com/undefined/status/1714900375546077653","148332642",
"1761205911631327348","Sat Feb 24 01:46:25 +0000 2024","3682","Ke bca sq promo untuk nasabah prioritas dan solitaire (gak di gancit tapi di kempinski sblm buat general sale) mau dateng mesti ada undangannya. Rame? banget cuma antrinya ga kaya di gancit. Isinya apa? Sama org cari diskon cuma saldonya minimal di atas 1m https://t.co/XtX0L8tqk0","1761205911631327348","https://pbs.twimg.com/media/GHEPbeZaQAAzmvE.jpg","","in","","246","116","841","https://x.com/undefined/status/1761205911631327348","37871310",
"1831505097370505724","Thu Sep 05 03:10:33 +0000 2024","434","@tanyarlfes Salah satu bank digital yang aku pilih dari beberapa pilihan. Meski bunga tabungan gak setinggi yang lain cuma merasa 'aman' aja karena ada nama BCA. Btw kalau tabungannya mencar-mencar coba catat dalam 1 sheet kaya gini. *cuma contoh bukan aset aku. https://t.co/jfFLYgs9VE","1831530328453943770","https://pbs.twimg.com/media/GWrnAWXa8AI4v4w.jpg","tanyarlfes","in","","1","2","32","https://x.com/undefined/status/1831530328453943770","281953234",
