"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1790167291562492116","Mon May 13 23:48:36 +0000 2024","7","Setelah drop lumayan banyak dalam dua bulan terakhir kira-kira saham saham BUMN perbankan kita ini masih berkemungkinan lanjut turun atau mulai rebound yaa mmmmm... #analisisteknikal #charting #saham #BBCA #BBRI #BMRI #BBNI #trading #investasi https://t.co/of7vmEBvYt","1790167291562492116","https://pbs.twimg.com/ext_tw_video_thumb/1790167225879703552/pu/img/4xavXzN4q507-P2N.jpg","","in","Dragonstone","5","2","3","https://x.com/manggitgaris/status/1790167291562492116","448579151","manggitgaris"
"1777864067199504802","Wed Apr 10 00:59:59 +0000 2024","13"," Bright ig #bbri #CalvinKleinxBright https://t.co/JA8zjoauq7","1777864067199504802","https://pbs.twimg.com/media/GKw97DKaIAEjgul.jpg","","en","","0","0","7","https://x.com/syallabear/status/1777864067199504802","2489116477","syallabear"
"1783854765992218862","Fri Apr 26 13:44:53 +0000 2024","0","Sempat menyentuh ATH di Rp.6.400/lembar #saham #BBRI mengalami trend koreksi cukup signifikan pada akhir perdangan Q1 dan memulai Q2 dengan cukup berat. Apakah tren positif akan kembali di torehkan emiten ini kedepannya? SC: @/bibit (apk) https://t.co/JUiQHnj0rL","1783854765992218862","https://pbs.twimg.com/media/GMGGdMZaQAEp95j.jpg","","in","Kantor Aduan Masyarakat","0","0","0","https://x.com/rafageo_rafael/status/1783854765992218862","1515344264544538624","rafageo_rafael"
"1852340875822797232","Fri Nov 01 13:24:14 +0000 2024","0","jarang2 kan liat saham blue chip jadi saham gorengan what a time to be alive #BBRI (kocak ini siapa sih asingnya) https://t.co/hzNUufRWBh","1852340875822797232","https://pbs.twimg.com/media/GbTWNXSbMAAq_Gp.jpg","","in","","0","0","0","https://x.com/jenniepasming/status/1852340875822797232","78047541","jenniepasming"
"1838112104311910630","Mon Sep 23 07:04:10 +0000 2024","2","Kue ultah mbak2 sekuritas Mana suaranya yang pegang #BBRI?! https://t.co/EDzvPRJfpV","1838112104311910630","https://pbs.twimg.com/media/GYJJHsybEAAyZIm.jpg","","in","Jakarta Pusat, DKI Jakarta","0","4","0","https://x.com/uswahabibah/status/1838112104311910630","108227302","uswahabibah"
"1665574183219212288","Mon Jun 05 04:20:04 +0000 2023","27","Hari ini saya jual take profit setengah #saham #bbri https://t.co/0AeciWDw81","1665574183219212288","https://pbs.twimg.com/media/Fx1O5JRakAE5ZDi.jpg","","in","","0","1","1","https://x.com/kaptencrypto707/status/1665574183219212288","1105345042493906944","kaptencrypto707"
"1820041837492519010","Sun Aug 04 10:19:23 +0000 2024","12","From KL - Jakarta to Bandung (mBandung) with #Bitcoin #PiNetwork #HBAR #BABYDOGE #FEG and #GOTO #TLKM #ASII #BBRI https://t.co/r3CHUzfIRt","1820041837492519010","https://pbs.twimg.com/ext_tw_video_thumb/1820041819402473472/pu/img/mcLAswWyrPavldr1.jpg","","in","Blockchain City, Earth","2","3","2","https://x.com/CryptoPublicID/status/1820041837492519010","147443996","CryptoPublicID"
"1683323841639223296","Mon Jul 24 03:50:53 +0000 2023","19","Saya beli lagi #saham #bbri walau lagi dipucuk. https://t.co/fMSXiecQnJ","1683323841639223296","https://pbs.twimg.com/media/F1xeG5eaQAMrPsa.jpg","","in","","0","9","1","https://x.com/kaptencrypto707/status/1683323841639223296","1105345042493906944","kaptencrypto707"
"1688437160062443520","Mon Aug 07 06:29:23 +0000 2023","21","Bisakah #saham #bbri ke 7000? https://t.co/yT7lJomiwx","1688437160062443520","https://pbs.twimg.com/media/F26Ipi2a0AAwH9E.jpg","","in","","0","2","1","https://x.com/kaptencrypto707/status/1688437160062443520","1105345042493906944","kaptencrypto707"
"1862409384242053399","Fri Nov 29 08:12:53 +0000 2024","2","Serok terus ‍ #BBRI #BMRI https://t.co/83EJrh9EMf","1862409384242053399","https://pbs.twimg.com/media/GdibdxmXgAAsF-w.jpg","","in","Denpasar Barat, Indonesia","0","1","0","https://x.com/stethoscopeez/status/1862409384242053399","1698535257954467840","stethoscopeez"
