"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1854840391725728174","Fri Nov 08 10:56:25 +0000 2024","19315","Selain Mixue ada lagi yang punya cabang di mana-mana btw yaitu bank BRI‍️ Sebelum beli lot BBRI kemarin aku sempat kepoin soal sejarahnya buat tau track record &amp; perjalanan bank ini. Ternyata seru juga! BRI pertama kali berdiri di Purwokerto th 1895 awalnya menarik banget. https://t.co/RqFFFakcZc","1854840391725728174","https://pbs.twimg.com/media/Gb23gQ8bwAIAo5O.jpg","","in","","225","180","2534","https://x.com/undefined/status/1854840391725728174","1080481376623722507",
"1196791476757262336","Tue Nov 19 14:26:27 +0000 2019","158","Bank BRI sendiri masih cakep kok. Laba bersihnya masih naik. Ini angka dari laporan keuangan Q2 mereka. Laba naik dari Rp14T menjadi Rp16T. https://t.co/nlhFQM52yH","1196796884578234368","https://pbs.twimg.com/media/EJvga0TVUAE8nMH.png","BigAlphaID","in","","9","6","74","https://x.com/undefined/status/1196796884578234368","958566590768926721",
"1592854290930237441","Wed Nov 16 12:17:11 +0000 2022","126","Laba Bank BRI naik 2x lipat ‼️ $BBRI catatkan kenaikan laba secara signifikan pada Q3 2022 dan menjadi bank dengan laba terbesar di Indonesia! Mimin rangkum beberapa hal penting dalam laporan keuangan terbaru salah satu bank BUMN dalam thread ini. https://t.co/THu6ltJhO3","1592854290930237441","https://pbs.twimg.com/media/FhrqdulWAAMp8LX.jpg","","in","","12","6","27","https://x.com/undefined/status/1592854290930237441","587189716",
"1623116652522131456","Wed Feb 08 00:29:00 +0000 2023","21","Laporan keuangan 2022 Bank BRI sudah terbit pada Harian Kompas halaman 8 dan 9. https://t.co/GrilqsTPph","1623116652522131456","https://pbs.twimg.com/media/FoZ3_AQaYAEWVCp.jpg","","in","","0","3","0","https://x.com/undefined/status/1623116652522131456","139982550",
"1854840391725728174","Fri Nov 08 11:00:22 +0000 2024","512","Setelah kita merdeka BRI jadi bank pemerintah pertama di Indonesia. Sampai Juni 2023 BRI punya 7.980 outlet jaringan kantor banyak banget sampe di New York pun ada di TAIPEI JUGAA sumpah w 2 minggu lalu keluar MRT Nanjing Fuxing ngeliat tbtb ada logo BRI kaget bgt https://t.co/KC4i9DNpvN","1854841387101175948","https://pbs.twimg.com/media/Gb24Z80aMAAsR7_.jpg","senjatanuklir","in","","13","9","32","https://x.com/undefined/status/1854841387101175948","1080481376623722507",
"1769920338597749095","Tue Mar 19 02:54:26 +0000 2024","4474","Pada Januari Fabianus Parus hendak menarik uang lewat mesin Anjungan Tunai Mandiri [ATM] PT Bank Rakyat Indonesia [Persero] Tbk. atau @BANKBRI_ID di Ruteng ibu kota Kabupaten Manggarai. Sebelum menarik uang hasil tabungannya dari bekerja sebagai buruh bangunan di Labuan Bajo https://t.co/UaAFF7bTgA","1769920338597749095","https://pbs.twimg.com/media/GJAE7zLb0AA493-.jpg","","in","","278","564","1659","https://x.com/undefined/status/1769920338597749095","2411986316",
"1196791476757262336","Tue Nov 19 14:19:54 +0000 2019","208","Ini contoh laporan keuangan Q2 Bank BRI yang kami ambil langsung dari website IDX. Perhatikan kalau deposito giro tabungan nasabah di BRI dicatat sebagai liabilitas atau utang. https://t.co/RpkPRpdT1u","1196795237336641538","https://pbs.twimg.com/media/EJve67cUcAAr9gJ.png","BigAlphaID","in","","3","7","84","https://x.com/undefined/status/1196795237336641538","958566590768926721",
"1266068635916791809","Thu May 28 18:07:39 +0000 2020","167","Penghasilan Bank Indonesia 2019 (91 80T). Terutama dari: Pendapatan Bunga (48 75T) Selisih Kurs Transaksi Valas (21 41T) Transaksi Aset Keuangan (Rp18 70T). Total Beban (46 58T). Terbesar biaya pelaksanaan kebijakan (23.78T). Surplus sebelum pajak (45 22T) setelah (33 35T). https://t.co/qUMgTBWmlF","1266068635916791809","https://pbs.twimg.com/media/EZH6sSiUcAAwiw3.png","","in","","1","15","58","https://x.com/undefined/status/1266068635916791809","718375892",
"1570237416426057730","Thu Sep 15 02:25:48 +0000 2022","694","BANK YANG BIAYA ADMIN NYA MURAH APA SIH ANJING KENAPA BIAYA ADMIN BRI GEDE BANGET ANJING INI JUGA TBTB ADA POTONGAN 39RB SETIAP BULAN BANGSAT APAAN INI SETIAP BULAN KEPOTONG 50 YANG BENER AJA KONT https://t.co/GqvJzeeirH","1570237416426057730","https://pbs.twimg.com/media/FcqamvyaUAA5cfP.jpg","","in","","23","240","2","https://x.com/undefined/status/1570237416426057730","1073128106",
"1871739888745521553","Wed Dec 25 02:08:59 +0000 2024","819","7 hari yg lalu ada isu bahwa Bank BRI jadi korban ransomware berdasarkan klaim dari Bashe group yg masuknya masih baru. Karena data yg dilampirkan tdk cukup meyakinkan akhirnya memilih utk ga publish apapun terkait insiden ini. Lalu benar ga sih BRI jadi korban ransomware? https://t.co/D4W6vpKoW0","1871739888745521553","https://pbs.twimg.com/media/GflbQatbsAAtLfm.jpg","","in","","24","15","226","https://x.com/undefined/status/1871739888745521553","222864124",
"1326510561736105985","Wed Nov 11 13:02:17 +0000 2020","0","Data simpanan dalam mata uang Rupiah BRI pada laporan keuangan Bank BRI kuartal 3. Menunjukan bahwa nasabah Simpedes lebih rajin menabung dibandingkan nasabah Britama ya? https://t.co/UgBu83Qvzd","1326510561736105985","https://pbs.twimg.com/media/Emi2U1nU8AAW752.jpg","","in","","0","0","0","https://x.com/undefined/status/1326510561736105985","139982550",
"1851428959969570872","Wed Oct 30 01:00:36 +0000 2024","5","Laporan keuangan Q3 Bank BRI sudah rilis. Masih berhasil tumbuh sedikit. https://t.co/NjsZmNZAuy","1851428959969570872","https://pbs.twimg.com/media/GbGY08CaAAAZtaw.jpg","","in","","0","0","0","https://x.com/undefined/status/1851428959969570872","139982550",
"1505816513223475203","Mon Mar 21 08:00:08 +0000 2022","139","SAATNYA KUIS! Ada saldo LinkAja total senilai Rp300 ribu. Sobat BRI tinggal sebutkan pengeluaran apa saja yang termasuk tips keuangan 4-3-2-1 yang jumlahnya 40% 30% 20% dan 10% dari penghasilan kamu. #BRI #MemberiMaknaIndonesia https://t.co/tedSCAiakB","1505816513223475203","https://pbs.twimg.com/media/FOW8IA1aAAQCh-i.jpg","","in","","2","405","78","https://x.com/undefined/status/1505816513223475203","1355939492",
